IDPLAYER,PLAYERNAME,BIRTHDATE,FIRSTNAME,LASTNAME,TEAM,LG,POS,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,RETROID,BREFID,NFBCID,NFBCNAME,ESPNID,ESPNNAME,KFFLNAME,DAVENPORTID,BPID,YAHOOID,YAHOONAME,MSTRBLLNAME,BATS,THROWS,FANTPROSNAME,LASTCOMMAFIRST,ROTOWIREID,FANDUELNAME,FANDUELID,DRAFTKINGSNAME,OTTONEUID,HQID
aardsda01,David Aardsma,"Dec 27, 1981",David,Aardsma,ATL,NL,P,1902,David Aardsma,430911,David Aardsma,479025,David Aardsma,aardd001,aardsda01,7307,David Aardsma,5933,David Aardsma,,AARDSMA19811227A,45369,7307,David Aardsma,"Aardsma, David",R,R,,"Aardsma, David",,,,David Aardsma,4362,
abadfe01,Fernando Abad,"Dec 17, 1985",Fernando,Abad,BOS,AL,P,4994,Fernando Abad,472551,Fernando Abad,1723564,Fernando Abad,abadf001,abadfe01,8767,Fernando Abad,30417,Fernando Abad,,ABAD19851217A,49706,8767,Fernando Abad,"Abad, Fernando",L,L,Fernando Abad,"Abad, Fernando",11285,Fernando Abad,12453,Fernando Abad,7372,
abreubo01,Bobby Abreu,"Mar 11, 1974",Bobby,Abreu,N/A,N/A,OF,945,Bobby Abreu,110029,Bobby Abreu,7367,Bobby Abreu,abreb001,abreubo01,5698,Bobby Abreu,3537,Bobby Abreu,Bobby Abreu,ABREU19740311A,650,5698,Bobby Abreu,"Abreu, Bobby",L,R,,"Abreu, Bobby",,,,,8984,
abreujo02,Jose Abreu,"Jan 29, 1987",Jose,Abreu,CHW,AL,1B,15676,Jose Abreu,547989,Jose Abreu,2106364,Jose Abreu,abrej003,abreujo02,9540,Jose Abreu,33095,Jose Abreu,Jose Abreu,ABREUcubaJ01,102005,9540,Jose Abreu,"Abreu, Jose",R,R,Jose Abreu,"Abreu, Jose",11341,Jose Abreu,49523,Jose Abreu,18286,4515
abreuto01,Tony Abreu,"Nov 13, 1984",Tony,Abreu,N/A,N/A,2B,5053,Tony Abreu,473234,Tony Abreu,593265,Tony Abreu,abret001,abreuto01,8033,Tony Abreu,28777,Tony Abreu,Tony Abreu,ABREU19841113A,46923,8033,Tony Abreu,"Abreu, Tony",B,R,,"Abreu, Tony",,,,,549,
accarje01,Jeremy Accardo,"Dec 18, 1981",Jeremy,Accardo,N/A,N/A,P,6428,Jeremy Accardo,435618,Jeremy Accardo,490429,Jeremy Accardo,accaj001,accarje01,7534,Jeremy Accardo,6262,Jeremy Accardo,,ACCARDO19811208A,45614,7534,Jeremy Accardo,"Accardo, Jeremy",R,R,,"Accardo, Jeremy",,,,,8034,
aceveal01,Alfredo Aceves,"Dec 8, 1982",Alfredo,Aceves,NYY,AL,P,5164,Alfredo Aceves,469686,Alfredo Aceves,1638980,Alfredo Aceves,aceva001,aceveal01,8336,Alfredo Aceves,29223,Alfredo Aceves,,ACEVES19821208A,46928,8336,Alfredo Aceves,"Aceves, Alfredo",R,R,,"Aceves, Alfredo",,,,,580,
ackledu01,Dustin Ackley,"Feb 26, 1988",Dustin,Ackley,NYY,AL,1B,10099,Dustin Ackley,554429,Dustin Ackley,1699742,Dustin Ackley,ackld001,ackledu01,8648,Dustin Ackley,30372,Dustin Ackley,Dustin Ackley,ACKLEY19880226A,61057,8648,Dustin Ackley,"Ackley, Dustin",L,R,Dustin Ackley,"Ackley, Dustin",10944,Dustin Ackley,12853,Dustin Ackley,5141,
adamecr01,Cristhian Adames,"Jul 26, 1991",Cristhian,Adames,COL,NL,SS,6013,Cristhian Adames,542436,Cristhian Adames,1959299,,,adamecr01,9774,,31659,Cristhian Adames,,,59755,,,,B,R,,"Adames, Cristhian",,Cristhian Adames,21582,Cristhian Adames,10307,
adamsda02,David Adams,"May 15, 1987",David,Adams,BAL,AL,2B,7389,David Adams,458691,David Adams,1740903,David Adams,adamd001,adamsda02,9395,David Adams,30679,David Adams,David Adams,ADAMS19870515A,58003,9395,David Adams,"Adams, David",R,R,,"Adams, David",,,,,5335,
adamsma01,Matt Adams,"Aug 31, 1988",Matt,Adams,STL,NL,1B,9393,Matt Adams,571431,Matt Adams,1810388,Matt Adams,adamm002,adamsma01,9100,Matt Adams,31359,Matt Adams,Matt Adams,ADAMS19880831A,59582,9100,Matt Adams,"Adams, Matt",L,R,Matt Adams,"Adams, Matt",11977,Matt Adams,13799,Matt Adams,6302,4003
